test_file,true_speaker,predicted_speaker,best_score
Aya_En_test_5s_18.mfcc,Aya,Aya,-86.10875725824917
Aya_En_test_5s_19.mfcc,Aya,Aya,-85.26987608247656
Aya_En_test_5s_2.mfcc,Aya,Aya,-84.26282354109114
Aya_En_test_5s_20.mfcc,Aya,Aya,-84.68693024359202
Aya_En_test_5s_21.mfcc,Aya,Aya,-89.4466428887407
Aya_En_test_5s_22.mfcc,Aya,Aya,-88.71416402098045
Aya_En_test_5s_23.mfcc,Aya,Aya,-88.54197084006572
Aya_En_test_5s_24.mfcc,Aya,Aya,-83.95379361626505
Aya_En_test_5s_25.mfcc,Aya,Aya,-87.55116167191233
Aya_En_test_5s_26.mfcc,Aya,Aya,-85.1461964148678
Aya_En_test_5s_27.mfcc,Aya,Aya,-89.04795302592943
Aya_En_test_5s_28.mfcc,Aya,Aya,-86.4411999193531
Aya_En_test_5s_29.mfcc,Aya,Aya,-85.63783145805417
Aya_En_test_5s_3.mfcc,Aya,Aya,-85.24530851365743
Aya_En_test_5s_30.mfcc,Aya,Aya,-86.51291898413545
Aya_En_test_5s_4.mfcc,Aya,Aya,-85.95178472340191
Aya_En_test_5s_5.mfcc,Aya,Aya,-86.07238062639891
Aya_En_test_5s_6.mfcc,Aya,Aya,-86.23429163513356
Aya_En_test_5s_7.mfcc,Aya,Aya,-87.57066180365021
Aya_En_test_5s_8.mfcc,Aya,Aya,-88.57568962379955
Aya_En_test_5s_9.mfcc,Aya,Aya,-84.629728331223
Aya_Fr_test_10s_1.mfcc,Aya,Aya,-84.87515626290019
Aya_Fr_test_10s_10.mfcc,Aya,Aya,-89.12078609810129
Aya_Fr_test_10s_11.mfcc,Aya,Aya,-87.56340711598371
Aya_Fr_test_10s_12.mfcc,Aya,Aya,-88.49525861209904
Aya_Fr_test_10s_13.mfcc,Aya,Aya,-86.42801241256444
Aya_Fr_test_10s_14.mfcc,Aya,Aya,-87.39256660308953
Aya_Fr_test_10s_15.mfcc,Aya,Aya,-88.47251356200978
Aya_Fr_test_10s_16.mfcc,Aya,Aya,-91.45080933606695
Aya_Fr_test_10s_17.mfcc,Aya,Aya,-88.0793008137013
Aya_Fr_test_10s_18.mfcc,Aya,Aya,-88.79934418302848
Aya_Fr_test_10s_19.mfcc,Aya,Aya,-91.03214318039274
Aya_Fr_test_10s_2.mfcc,Aya,Aya,-87.06051360476991
Aya_Fr_test_10s_20.mfcc,Aya,Aya,-85.75385248649131
Aya_Fr_test_10s_21.mfcc,Aya,Aya,-86.99125453999423
Aya_Fr_test_10s_22.mfcc,Aya,Aya,-87.31582260592337
Aya_Fr_test_10s_23.mfcc,Aya,Aya,-89.67375386431216
Aya_Fr_test_10s_24.mfcc,Aya,Aya,-86.35927004659966
Aya_Fr_test_10s_25.mfcc,Aya,Aya,-85.92030482639252
Aya_Fr_test_10s_26.mfcc,Aya,Aya,-89.38664818669446
Aya_Fr_test_10s_27.mfcc,Aya,Aya,-86.1561133905241
Aya_Fr_test_10s_28.mfcc,Aya,Aya,-85.8849522519434
Aya_Fr_test_10s_29.mfcc,Aya,Aya,-85.49509580273497
Aya_Fr_test_10s_3.mfcc,Aya,Aya,-90.22671460066888
Aya_Fr_test_10s_30.mfcc,Aya,Aya,-86.33447653224141
Aya_Fr_test_10s_4.mfcc,Aya,Aya,-87.7680200796711
Aya_Fr_test_10s_5.mfcc,Aya,Aya,-85.50239075774408
Aya_Fr_test_10s_6.mfcc,Aya,Aya,-86.58183241081291
Aya_Fr_test_10s_7.mfcc,Aya,Aya,-91.65064154808746
Aya_Fr_test_10s_8.mfcc,Aya,Aya,-87.62166632699292
Aya_Fr_test_10s_9.mfcc,Aya,Aya,-85.5048590367502
Aya_Fr_test_15s_1.mfcc,Aya,Aya,-86.7007009207189
Aya_Fr_test_15s_10.mfcc,Aya,Aya,-86.95819018949335
Aya_Fr_test_15s_11.mfcc,Aya,Aya,-86.33563153492224
Aya_Fr_test_15s_12.mfcc,Aya,Aya,-89.2145867874987
Aya_Fr_test_15s_13.mfcc,Aya,Aya,-87.76764759290947
Aya_Fr_test_15s_14.mfcc,Aya,Aya,-87.29687680205946
Aya_Fr_test_15s_15.mfcc,Aya,Aya,-86.39657376624187
Aya_Fr_test_15s_16.mfcc,Aya,Aya,-90.35997012261188
Aya_Fr_test_15s_17.mfcc,Aya,Aya,-86.4687635670264
Aya_Fr_test_15s_18.mfcc,Aya,Aya,-87.90055730095757
Aya_Fr_test_15s_19.mfcc,Aya,Aya,-87.45989720220878
Aya_Fr_test_15s_2.mfcc,Aya,Aya,-87.03812907444535
Aya_Fr_test_15s_20.mfcc,Aya,Aya,-86.79427957821716
Aya_Fr_test_15s_21.mfcc,Aya,Aya,-88.3650547150763
Aya_Fr_test_15s_22.mfcc,Aya,Aya,-88.79605113495559
Aya_Fr_test_15s_23.mfcc,Aya,Aya,-88.3567331784419
Aya_Fr_test_15s_24.mfcc,Aya,Aya,-85.4427170092717
Aya_Fr_test_15s_25.mfcc,Aya,Aya,-86.97024649681367
Aya_Fr_test_15s_26.mfcc,Aya,Aya,-86.16822737369895
Aya_Fr_test_15s_27.mfcc,Aya,Aya,-91.44416579890138
Aya_Fr_test_15s_28.mfcc,Aya,Aya,-87.64128203587214
Aya_Fr_test_15s_29.mfcc,Aya,Aya,-87.0742807093604
Aya_Fr_test_15s_3.mfcc,Aya,Aya,-90.01749750650819
Aya_Fr_test_15s_30.mfcc,Aya,Aya,-86.11154424373251
Aya_Fr_test_15s_4.mfcc,Aya,Aya,-87.05080119943825
Aya_Fr_test_15s_5.mfcc,Aya,Aya,-86.36264754617268
Aya_Fr_test_15s_6.mfcc,Aya,Aya,-90.51601534999587
Aya_Fr_test_15s_7.mfcc,Aya,Aya,-88.15135081773373
Aya_Fr_test_15s_8.mfcc,Aya,Aya,-89.14167975106508
Aya_Fr_test_15s_9.mfcc,Aya,Aya,-90.5676156553113
Aya_Fr_test_5s_1.mfcc,Aya,Aya,-89.08216761666391
Aya_Fr_test_5s_10.mfcc,Aya,Aya,-86.22968620325538
Aya_Fr_test_5s_11.mfcc,Aya,Aya,-84.94832278858935
Aya_Fr_test_5s_12.mfcc,Aya,Aya,-89.19998708076274
Aya_Fr_test_5s_13.mfcc,Aya,Aya,-84.86715973456853
Aya_Fr_test_5s_14.mfcc,Aya,Aya,-90.36032874704121
Aya_Fr_test_5s_15.mfcc,Aya,Aya,-85.60601709733207
Aya_Fr_test_5s_16.mfcc,Aya,Aya,-87.3599013393096
Aya_Fr_test_5s_17.mfcc,Aya,Aya,-86.5162694816077
Aya_Fr_test_5s_18.mfcc,Aya,Aya,-92.1357332741215
Aya_Fr_test_5s_19.mfcc,Aya,Aya,-87.76655888294177
Aya_Fr_test_5s_2.mfcc,Aya,Aya,-91.91884592475269
Aya_Fr_test_5s_20.mfcc,Aya,Aya,-87.89583319990098
Aya_Fr_test_5s_21.mfcc,Aya,Aya,-84.77560073540062
Aya_Fr_test_5s_22.mfcc,Aya,Aya,-86.98621295879907
Aya_Fr_test_5s_23.mfcc,Aya,Aya,-88.22263407466743
Aya_Fr_test_5s_24.mfcc,Aya,Aya,-87.58317990489967
Aya_Fr_test_5s_25.mfcc,Aya,Aya,-92.11041545339825
Aya_Fr_test_5s_26.mfcc,Aya,Aya,-86.61651834070226
Aya_Fr_test_5s_27.mfcc,Aya,Aya,-87.45709532505022
Aya_Fr_test_5s_28.mfcc,Aya,Aya,-87.20209098957983
Aya_Fr_test_5s_29.mfcc,Aya,Aya,-84.03387691558642
Aya_Fr_test_5s_3.mfcc,Aya,Aya,-90.95034297991607
Aya_Fr_test_5s_30.mfcc,Aya,Aya,-85.00491914796972
Aya_Fr_test_5s_4.mfcc,Aya,Aya,-87.31185169433773
Aya_Fr_test_5s_5.mfcc,Aya,Aya,-88.10080901776148
Aya_Fr_test_5s_6.mfcc,Aya,Aya,-88.94015334598346
Aya_Fr_test_5s_7.mfcc,Aya,Aya,-91.29272868762365
Aya_Fr_test_5s_8.mfcc,Aya,Aya,-87.41433989221237
Aya_Fr_test_5s_9.mfcc,Aya,Aya,-90.31067597870654
Chayma_Ar_test_10s_1.mfcc,Chayma,Chayma,-82.43005008251846
Chayma_Ar_test_10s_10.mfcc,Chayma,Chayma,-81.95223671241827
Chayma_Ar_test_10s_11.mfcc,Chayma,Chayma,-82.52890328121556
Chayma_Ar_test_10s_12.mfcc,Chayma,Chayma,-83.01868390328247
Chayma_Ar_test_10s_13.mfcc,Chayma,Chayma,-82.70490116728328
Chayma_Ar_test_10s_14.mfcc,Chayma,Chayma,-81.75812130868242
Chayma_Ar_test_10s_15.mfcc,Chayma,Chayma,-82.7395791010883
Chayma_Ar_test_10s_16.mfcc,Chayma,Chayma,-83.43568394737503
Chayma_Ar_test_10s_17.mfcc,Chayma,Chayma,-82.09768790086967
Chayma_Ar_test_10s_18.mfcc,Chayma,Chayma,-82.49595150559296
Chayma_Ar_test_10s_19.mfcc,Chayma,Chayma,-81.214693828278
Chayma_Ar_test_10s_2.mfcc,Chayma,Chayma,-81.79893183531321
Chayma_Ar_test_10s_20.mfcc,Chayma,Chayma,-82.22353268811416
Chayma_Ar_test_10s_21.mfcc,Chayma,Chayma,-82.67778758955349
Chayma_Ar_test_10s_22.mfcc,Chayma,Chayma,-81.57478604497906
Chayma_Ar_test_10s_23.mfcc,Chayma,Chayma,-82.0546274202035
Chayma_Ar_test_10s_24.mfcc,Chayma,Chayma,-81.58602977615828
Chayma_Ar_test_10s_25.mfcc,Chayma,Chayma,-81.96782925879707
Chayma_Ar_test_10s_26.mfcc,Chayma,Chayma,-81.63337893931822
Chayma_Ar_test_10s_27.mfcc,Chayma,Chayma,-83.16491571506063
Chayma_Ar_test_10s_28.mfcc,Chayma,Chayma,-81.95419244719434
Chayma_Ar_test_10s_29.mfcc,Chayma,Chayma,-80.92750028849933
Chayma_Ar_test_10s_3.mfcc,Chayma,Chayma,-81.54384434915784
Chayma_Ar_test_10s_30.mfcc,Chayma,Chayma,-82.01105001788244
Chayma_Ar_test_10s_4.mfcc,Chayma,Chayma,-81.95293856458241
Chayma_Ar_test_10s_5.mfcc,Chayma,Chayma,-81.97574700103763
Chayma_Ar_test_10s_6.mfcc,Chayma,Chayma,-81.74929399343245
Chayma_Ar_test_10s_7.mfcc,Chayma,Chayma,-81.84009057018466
Chayma_Ar_test_10s_8.mfcc,Chayma,Chayma,-81.8453133183971
Chayma_Ar_test_10s_9.mfcc,Chayma,Chayma,-82.02200777591328
Chayma_Ar_test_15s_1.mfcc,Chayma,Chayma,-81.1584757721224
Chayma_Ar_test_15s_10.mfcc,Chayma,Chayma,-83.06269891762004
Chayma_Ar_test_15s_11.mfcc,Chayma,Chayma,-81.84959841850801
Chayma_Ar_test_15s_12.mfcc,Chayma,Chayma,-81.80401234402534
Chayma_Ar_test_15s_13.mfcc,Chayma,Chayma,-81.41317612968268
Chayma_Ar_test_15s_14.mfcc,Chayma,Chayma,-83.43518180816586
Chayma_Ar_test_15s_15.mfcc,Chayma,Chayma,-82.75034241353106
Chayma_Ar_test_15s_16.mfcc,Chayma,Chayma,-81.49391592671375
Chayma_Ar_test_15s_17.mfcc,Chayma,Chayma,-82.03171059579067
Chayma_Ar_test_15s_18.mfcc,Chayma,Chayma,-82.6184044256723
Chayma_Ar_test_15s_19.mfcc,Chayma,Chayma,-81.64182418777507
Chayma_Ar_test_15s_2.mfcc,Chayma,Chayma,-80.841574050904
Chayma_Ar_test_15s_20.mfcc,Chayma,Chayma,-82.12186872130219
Chayma_Ar_test_15s_21.mfcc,Chayma,Chayma,-82.55637993773867
Chayma_Ar_test_15s_22.mfcc,Chayma,Chayma,-82.5801378407364
Chayma_Ar_test_15s_23.mfcc,Chayma,Chayma,-81.32170043866236
Chayma_Ar_test_15s_24.mfcc,Chayma,Chayma,-81.63457011794229
Chayma_Ar_test_15s_25.mfcc,Chayma,Chayma,-82.93193924834617
Chayma_Ar_test_15s_26.mfcc,Chayma,Chayma,-81.57492406380541
Chayma_Ar_test_15s_27.mfcc,Chayma,Chayma,-81.9768744220913
Chayma_Ar_test_15s_28.mfcc,Chayma,Chayma,-82.08796839236749
Chayma_Ar_test_15s_29.mfcc,Chayma,Chayma,-81.35262919159089
Chayma_Ar_test_15s_3.mfcc,Chayma,Chayma,-81.99818916719528
Chayma_Ar_test_15s_30.mfcc,Chayma,Chayma,-82.1990934845587
Chayma_Ar_test_15s_4.mfcc,Chayma,Chayma,-81.50658211791163
Chayma_Ar_test_15s_5.mfcc,Chayma,Chayma,-81.4102646298483
Chayma_Ar_test_15s_6.mfcc,Chayma,Chayma,-82.34758121158731
Chayma_Ar_test_15s_7.mfcc,Chayma,Chayma,-81.54122662349195
Chayma_Ar_test_15s_8.mfcc,Chayma,Chayma,-82.44838232182137
Chayma_Ar_test_15s_9.mfcc,Chayma,Chayma,-82.01964126996026
Chayma_Ar_test_5s_1.mfcc,Chayma,Chayma,-81.84974139757
Chayma_Ar_test_5s_10.mfcc,Chayma,Chayma,-81.6320609361651
Chayma_Ar_test_5s_11.mfcc,Chayma,Chayma,-83.23100068491568
Chayma_Ar_test_5s_12.mfcc,Chayma,Chayma,-83.46002174372006
Chayma_Ar_test_5s_13.mfcc,Chayma,Chayma,-82.22601910591723
Chayma_Ar_test_5s_14.mfcc,Chayma,Chayma,-83.57411909818343
Chayma_Ar_test_5s_15.mfcc,Chayma,Chayma,-80.39978718240523
Chayma_Ar_test_5s_16.mfcc,Chayma,Chayma,-81.94504312879104
Chayma_Ar_test_5s_17.mfcc,Chayma,Chayma,-81.17927234267839
Chayma_Ar_test_5s_18.mfcc,Chayma,Chayma,-83.36311395476535
Chayma_Ar_test_5s_19.mfcc,Chayma,Chayma,-82.75025284371745
Chayma_Ar_test_5s_2.mfcc,Chayma,Chayma,-81.45984446627679
Chayma_Ar_test_5s_20.mfcc,Chayma,Chayma,-82.9874439795406
Chayma_Ar_test_5s_21.mfcc,Chayma,Chayma,-82.05090108713557
Chayma_Ar_test_5s_22.mfcc,Chayma,Chayma,-83.81303671603611
Chayma_Ar_test_5s_23.mfcc,Chayma,Chayma,-82.1722742632261
Chayma_Ar_test_5s_24.mfcc,Chayma,Chayma,-82.95742529324798
Chayma_Ar_test_5s_25.mfcc,Chayma,Chayma,-83.59672593313513
Chayma_Ar_test_5s_26.mfcc,Chayma,Chayma,-81.48346862417759
Chayma_Ar_test_5s_27.mfcc,Chayma,Chayma,-83.9878541958702
Chayma_Ar_test_5s_28.mfcc,Chayma,Chayma,-83.72123903267989
Chayma_Ar_test_5s_29.mfcc,Chayma,Chayma,-83.9151809024491
Chayma_Ar_test_5s_3.mfcc,Chayma,Chayma,-81.50612094558363
Chayma_Ar_test_5s_30.mfcc,Chayma,Chayma,-80.54742831275608
Chayma_Ar_test_5s_4.mfcc,Chayma,Chayma,-83.77088516964294
Chayma_Ar_test_5s_5.mfcc,Chayma,Chayma,-81.89692086992206
Chayma_Ar_test_5s_6.mfcc,Chayma,Chayma,-82.09052215859748
Chayma_Ar_test_5s_7.mfcc,Chayma,Chayma,-83.11409361651106
Chayma_Ar_test_5s_8.mfcc,Chayma,Chayma,-83.14935328974526
Chayma_Ar_test_5s_9.mfcc,Chayma,Chayma,-81.60157415387548
Chayma_En_test_10s_1.mfcc,Chayma,Chayma,-82.48430461225878
Chayma_En_test_10s_10.mfcc,Chayma,Chayma,-82.4950447394127
Chayma_En_test_10s_11.mfcc,Chayma,Chayma,-81.42821740530393
Chayma_En_test_10s_12.mfcc,Chayma,Chayma,-80.75120302287463
Chayma_En_test_10s_13.mfcc,Chayma,Chayma,-81.85402362415806
Chayma_En_test_10s_14.mfcc,Chayma,Chayma,-81.56347004343857
Chayma_En_test_10s_15.mfcc,Chayma,Chayma,-81.47292186947233
Chayma_En_test_10s_16.mfcc,Chayma,Chayma,-81.61339260481638
Chayma_En_test_10s_17.mfcc,Chayma,Chayma,-81.11063798434503
Chayma_En_test_10s_18.mfcc,Chayma,Chayma,-81.59437084205273
Chayma_En_test_10s_19.mfcc,Chayma,Chayma,-82.0176840857302
Chayma_En_test_10s_2.mfcc,Chayma,Chayma,-81.72315117172721
Chayma_En_test_10s_20.mfcc,Chayma,Chayma,-81.7694808137496
Chayma_En_test_10s_21.mfcc,Chayma,Chayma,-82.54533273162455
